"Year","SA3.name","SA2.code","SA2.name","Total.M","Total.F","Total.A","M_Child","M_Teen","M_Adult","M_Old","F_Child","F_Teen","F_Adult","F_Old","A_Child","A_Teen","A_Adult","A_Old","Check_Child","Check_Teen","Check_Adult","Check_Old"
2018,"Melbourne City",206041509,"Southbank",7945,7650,15595,390,305,6755,495,358,394,6366,532,748,699,13121,1027,748,699,13121,1027
2018,"Melbourne City",206041510,"West Melbourne (Residential)",3500,3098,6598,179,184,2947,190,192,186,2516,204,371,370,5463,394,371,370,5463,394
2018,"Port Phillip",206051130,"Port Melbourne",8350,9004,17354,931,632,5082,1705,957,575,5581,1891,1888,1207,10663,3596,1888,1207,10663,3596
2018,"Port Phillip",206051511,"Port Melbourne",417,368,785,25,24,357,11,22,18,313,15,47,42,670,26,47,42,670,26
2019,"Melbourne City",206041117,"Carlton",9995,11034,21029,450,1062,7661,822,412,1396,8218,1008,862,2458,15879,1830,862,2458,15879,1830
2019,"Melbourne City",206041118,"Docklands",8560,7809,16369,573,273,6953,761,529,311,6292,677,1102,584,13245,1438,1102,584,13245,1438
2019,"Melbourne City",206041119,"East Melbourne",2593,2823,5416,144,89,1711,649,177,104,1819,723,321,193,3530,1372,321,193,3530,1372
2019,"Melbourne City",206041120,"Melbourne (Remainder)",46,37,83,8,0,38,0,2,1,34,0,10,1,72,0,10,1,72,0
2019,"Melbourne City",206041121,"Kensington",5665,5946,11611,639,409,3909,708,661,403,4095,787,1300,812,8004,1495,1300,812,8004,1495
2019,"Melbourne City",206041124,"Parkville",3873,4418,8291,226,652,2565,430,233,940,2622,623,459,1592,5187,1053,459,1592,5187,1053
2019,"Melbourne City",206041125,"South Yarra",3373,3682,7055,214,255,2072,832,208,219,2302,953,422,474,4374,1785,422,474,4374,1785
2019,"Melbourne City",206041127,"West Melbourne (Industrial)",2,1,3,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,3
2019,"Melbourne City",206041503,"Melbourne (CBD)",6401,6129,12530,227,365,5252,557,218,400,5034,477,445,765,10286,1034,445,765,10286,1034
2019,"Melbourne City",206041504,"Melbourne (CBD)",8944,9421,18365,207,774,7715,248,222,1005,7962,232,429,1779,15677,480,429,1779,15677,480
2019,"Melbourne City",206041505,"Melbourne (CBD)",9504,9246,18750,313,449,8394,348,267,545,8106,328,580,994,16500,676,580,994,16500,676
2019,"Melbourne City",206041506,"North Melbourne",8751,9190,17941,820,761,6318,852,865,821,6523,981,1685,1582,12841,1833,1685,1582,12841,1833
2019,"Melbourne City",206041507,"Melbourne (Remainder)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Melbourne City",206041508,"Southbank",3943,3754,7697,222,121,3173,427,238,167,2930,419,460,288,6103,846,460,288,6103,846
2019,"Melbourne City",206041509,"Southbank",8547,8158,16705,415,292,7319,521,370,381,6837,570,785,673,14156,1091,785,673,14156,1091
2019,"Melbourne City",206041510,"West Melbourne (Residential)",3714,3377,7091,187,192,3139,196,199,196,2762,220,386,388,5901,416,386,388,5901,416
2019,"Port Phillip",206051130,"Port Melbourne",8322,8988,17310,910,686,4942,1784,966,616,5469,1937,1876,1302,10411,3721,1876,1302,10411,3721
2019,"Port Phillip",206051511,"Port Melbourne",684,599,1283,45,40,578,21,36,30,511,22,81,70,1089,43,81,70,1089,43
2020,"Melbourne City",206041117,"Carlton",10066,10799,20865,427,933,7841,865,390,1136,8210,1063,817,2069,16051,1928,817,2069,16051,1928
2020,"Melbourne City",206041118,"Docklands",8715,7956,16671,578,246,7111,780,539,272,6441,704,1117,518,13552,1484,1117,518,13552,1484
2020,"Melbourne City",206041119,"East Melbourne",2582,2801,5383,132,92,1680,678,161,106,1775,759,293,198,3455,1437,293,198,3455,1437
2020,"Melbourne City",206041120,"Melbourne (Remainder)",47,34,81,5,0,41,1,1,1,32,0,6,1,73,1,6,1,73,1
2020,"Melbourne City",206041121,"Kensington",5573,5843,11416,617,408,3824,724,645,399,3992,807,1262,807,7816,1531,1262,807,7816,1531
2020,"Melbourne City",206041124,"Parkville",3882,4436,8318,210,656,2585,431,215,975,2641,605,425,1631,5226,1036,425,1631,5226,1036
2020,"Melbourne City",206041125,"South Yarra",3330,3630,6960,213,242,2021,854,200,221,2215,994,413,463,4236,1848,413,463,4236,1848
2020,"Melbourne City",206041127,"West Melbourne (Industrial)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Melbourne City",206041503,"Melbourne (CBD)",6298,6048,12346,220,311,5214,553,216,355,4993,484,436,666,10207,1037,436,666,10207,1037
2020,"Melbourne City",206041504,"Melbourne (CBD)",9371,9784,19155,194,698,8220,259,216,841,8482,245,410,1539,16702,504,410,1539,16702,504
2020,"Melbourne City",206041505,"Melbourne (CBD)",9546,9250,18796,294,395,8502,355,259,462,8186,343,553,857,16688,698,553,857,16688,698
2020,"Melbourne City",206041506,"North Melbourne",8869,9285,18154,811,773,6389,896,896,774,6590,1025,1707,1547,12979,1921,1707,1547,12979,1921
2020,"Melbourne City",206041507,"Melbourne (Remainder)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Melbourne City",206041508,"Southbank",3871,3680,7551,217,124,3108,422,229,145,2878,428,446,269,5986,850,446,269,5986,850
2020,"Melbourne City",206041509,"Southbank",8859,8446,17305,422,278,7628,531,373,348,7133,592,795,626,14761,1123,795,626,14761,1123
2020,"Melbourne City",206041510,"West Melbourne (Residential)",3920,3647,7567,197,192,3320,211,210,199,2998,240,407,391,6318,451,407,391,6318,451
2020,"Port Phillip",206051130,"Port Melbourne",8146,8852,16998,864,709,4761,1812,943,626,5289,1994,1807,1335,10050,3806,1807,1335,10050,3806
2020,"Port Phillip",206051511,"Port Melbourne",911,798,1709,64,46,768,33,52,36,679,31,116,82,1447,64,116,82,1447,64
2021,"Melbourne City",206041117,"Carlton",8456,8608,17064,331,690,6639,796,304,782,6572,950,635,1472,13211,1746,635,1472,13211,1746
2021,"Melbourne City",206041118,"Docklands",8309,7596,15905,574,209,6746,780,514,231,6137,714,1088,440,12883,1494,1088,440,12883,1494
2021,"Melbourne City",206041119,"East Melbourne",2382,2577,4959,104,87,1530,661,111,100,1611,755,215,187,3141,1416,215,187,3141,1416
2021,"Melbourne City",206041120,"Melbourne (Remainder)",50,28,78,0,0,49,1,1,0,27,0,1,0,76,1,1,0,76,1
2021,"Melbourne City",206041121,"Kensington",5315,5557,10872,580,396,3605,734,584,397,3767,809,1164,793,7372,1543,1164,793,7372,1543
2021,"Melbourne City",206041124,"Parkville",3549,3879,7428,191,578,2373,407,170,884,2302,523,361,1462,4675,930,361,1462,4675,930
2021,"Melbourne City",206041125,"South Yarra",3112,3424,6536,209,199,1868,836,192,214,2028,990,401,413,3896,1826,401,413,3896,1826
2021,"Melbourne City",206041127,"West Melbourne (Industrial)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Melbourne City",206041503,"Melbourne (CBD)",5146,4973,10119,187,201,4273,485,174,267,4103,429,361,468,8376,914,361,468,8376,914
2021,"Melbourne City",206041504,"Melbourne (CBD)",8573,8787,17360,172,553,7582,266,185,621,7741,240,357,1174,15323,506,357,1174,15323,506
2021,"Melbourne City",206041505,"Melbourne (CBD)",8210,7888,16098,227,303,7347,333,214,346,7011,317,441,649,14358,650,441,649,14358,650
2021,"Melbourne City",206041506,"North Melbourne",7787,8158,15945,600,690,5617,880,579,724,5939,916,1179,1414,11556,1796,1179,1414,11556,1796
2021,"Melbourne City",206041507,"Melbourne (Remainder)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
