"Year","SA2.name","Gender","Age_category","Population_Count"
2012,"Melbourne (CBD)","A","Old",658
2012,"Melbourne (CBD)","M","Child",88
2012,"Melbourne (CBD)","M","Teen",416
2012,"Melbourne (CBD)","M","Adult",3183
2012,"Melbourne (CBD)","M","Old",151
2012,"Melbourne (CBD)","F","Child",97
2012,"Melbourne (CBD)","F","Teen",554
2012,"Melbourne (CBD)","F","Adult",3273
2012,"Melbourne (CBD)","F","Old",118
2012,"Melbourne (CBD)","A","Child",185
2012,"Melbourne (CBD)","A","Teen",970
2012,"Melbourne (CBD)","A","Adult",6456
2012,"Melbourne (CBD)","A","Old",269
2012,"Melbourne (CBD)","M","Child",114
2012,"Melbourne (CBD)","M","Teen",295
2012,"Melbourne (CBD)","M","Adult",3857
2012,"Melbourne (CBD)","M","Old",155
2012,"Melbourne (CBD)","F","Child",106
2012,"Melbourne (CBD)","F","Teen",322
2012,"Melbourne (CBD)","F","Adult",3631
2012,"Melbourne (CBD)","F","Old",148
2012,"Melbourne (CBD)","A","Child",220
2012,"Melbourne (CBD)","A","Teen",617
2012,"Melbourne (CBD)","A","Adult",7488
2012,"Melbourne (CBD)","A","Old",303
2012,"North Melbourne","M","Child",523
2012,"North Melbourne","M","Teen",622
2012,"North Melbourne","M","Adult",4859
2012,"North Melbourne","M","Old",669
2012,"North Melbourne","F","Child",452
2012,"North Melbourne","F","Teen",627
2012,"North Melbourne","F","Adult",4865
2012,"North Melbourne","F","Old",704
2012,"North Melbourne","A","Child",975
2012,"North Melbourne","A","Teen",1249
2012,"North Melbourne","A","Adult",9724
2012,"North Melbourne","A","Old",1373
2012,"Melbourne (Remainder)","M","Child",0
2012,"Melbourne (Remainder)","M","Teen",0
2012,"Melbourne (Remainder)","M","Adult",0
2012,"Melbourne (Remainder)","M","Old",0
2012,"Melbourne (Remainder)","F","Child",0
2012,"Melbourne (Remainder)","F","Teen",0
2012,"Melbourne (Remainder)","F","Adult",0
2012,"Melbourne (Remainder)","F","Old",0
2012,"Melbourne (Remainder)","A","Child",0
2012,"Melbourne (Remainder)","A","Teen",0
2012,"Melbourne (Remainder)","A","Adult",0
2012,"Melbourne (Remainder)","A","Old",0
2012,"Southbank","M","Child",122
2012,"Southbank","M","Teen",149
2012,"Southbank","M","Adult",2304
2012,"Southbank","M","Old",249
2012,"Southbank","F","Child",106
2012,"Southbank","F","Teen",178
2012,"Southbank","F","Adult",2025
2012,"Southbank","F","Old",217
2012,"Southbank","A","Child",228
2012,"Southbank","A","Teen",327
2012,"Southbank","A","Adult",4329
2012,"Southbank","A","Old",466
2012,"Southbank","M","Child",165
2012,"Southbank","M","Teen",194
2012,"Southbank","M","Adult",3607
2012,"Southbank","M","Old",342
2012,"Southbank","F","Child",152
2012,"Southbank","F","Teen",234
2012,"Southbank","F","Adult",3404
2012,"Southbank","F","Old",298
2012,"Southbank","A","Child",317
2012,"Southbank","A","Teen",428
